Filing Period,Taxable Amount,Total AmountDue,Date Paid,Name,Street Address,City,State,Zip
24-Aug,99199.21,29759.76,9/18/2024,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,Fredericksburg,Virginia,22406
23-Oct,1250,375,11/27/2023,smoke island5 inc,211 N. Frederick Ave unit F,Gaithersburg,MD,20877
23-Aug,2120,636,9/29/2023,smokeisland3 inc,815 hungerford drive,Rockville,Montgomery,20850
23-Aug,2825,847.5,9/29/2023,smoke Island inc,11230 Georgia ave,silver spring,MD,20902
23-Aug,1055,316.5,9/29/2023,smoke island6 inc,7913 Norfolk ave,Bethesda,MD,20814
23-Aug,865.5,259.65,9/29/2023,smoke island8 inc,2567 Ennalls ave,Wheaton,MD,20902
23-Aug,113263.75,33979.12,9/18/2023,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,Fredericksburg,Virginia,22406
23-Oct,1783.33,534.99,11/27/2023,Smoke island1 inc,9439 Georgia ave,Silver Spring,Maryland,20910
23-Oct,1824,547.2,11/27/2023,smokeisland3 inc,815 hungerford drive,Rockville,Montgomery,20850
23-Oct,1088,326.4,11/27/2023,smoke island6 inc,7913 Norfolk ave,Bethesda,MD,20814
23-Sep,824.5,247.35,10/11/2023,smoke island8 inc,2567 Ennalls ave,Wheaton,MD,20902
23-Sep,1622.5,486.75,10/11/2023,smoke island4 inc,12331 Georgia ave unit F,Silver Spring,MD,20906
23-Sep,1122.75,336.82,10/11/2023,smoke island6 inc,7913 Norfolk ave,Bethesda,MD,20814
23-Sep,844.5,253.35,10/11/2023,Smoke Island7 inc,4949 Bethesda Ave,Bethesda,Maryland,20814
23-Oct,1410,423,11/27/2023,smoke island4 inc,12331 Georgia ave unit F,Silver Spring,MD,20906
23-Sep,1844.58,553.37,10/17/2023,Sheetz Distribution Services LLC,242 Sheetz Way,Claysburg,Pennsylvania,16625
23-Oct,818,245.4,11/27/2023,smoke island8 inc,2567 Ennalls ave,Wheaton,MD,20902
24-Jul,2015.5,604.65,8/12/2024,smoke Island inc,11230 Georgia ave,silver spring,MD,20902
23-Sep,11957.1,3587.13,10/19/2023,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,Mountville,PA,17554
23-Sep,8334.68,2500.4,10/16/2023,George J. Falter,3501 Benson Ave,Baltimore,MD,21227
23-Sep,309.65,92.89,10/17/2023,"K & E Tobacco, LLC",13842 Outlet Drive Unit C,Silver Spring,MD,20904
24-Jul,1220.5,366.15,8/12/2024,smoke island8 inc,2567 Ennalls ave,Wheaton,MD,20902
23-Sep,2397.01,719.1,10/16/2023,Eby Brown Company,1415 W Diehl Rd- STE 300N,Naperville,IL,60563-1197
23-Oct,2266,679.8,11/27/2023,smoke Island inc,11230 Georgia ave,silver spring,MD,20902
23-Oct,850,255,11/27/2023,Smoke Island7 inc,4949 Bethesda Ave,Bethesda,Maryland,20814
23-Nov,925.5,277.65,12/18/2023,smoke island8 inc,2567 Ennalls ave,Wheaton,MD,20902
24-Jul,1742.25,522.67,8/12/2024,smoke island4 inc,12331 Georgia ave unit F,Silver Spring,MD,20906
24-Jul,1305.25,391.57,8/12/2024,smoke island5 inc,211 N. Frederick Ave unit F,Gaithersburg,MD,20877
24-Aug,38076.85,11423.05,9/30/2024,Century Distributors,15710 Crabbs Branch Way,Rockville,Maryland,20855
24-Jul,1145.68,343.7,8/12/2024,Smoke Island7 inc,4949 Bethesda Ave,Bethesda,Maryland,20814
24-Jul,1412.5,423.75,8/12/2024,Smoke island1 inc,9439 Georgia ave,Silver Spring,Maryland,20910
24-Jul,1524.25,457.27,8/12/2024,smokeisland3 inc,815 hungerford drive,Rockville,Montgomery,20850
24-Sep,8205.04,2461.51,10/11/2024,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,Mountville,PA,17554
24-Dec,32744.33,9823.29,1/28/2025,Century Distributors,15710 Crabbs Branch Way,Rockville,MD,20855
24-Dec,4125.25,1237.57,1/28/2025,smoke island8 inc,2567 Ennalls ave,Wheaton,MD,20902
24-Dec,12650.5,3795.15,1/28/2025,smoke Island inc,11230 Georgia ave,silver spring,MD,20902
24-Dec,3611.5,1083.45,1/28/2025,smoke island5 inc,211 N. Frederick Ave unit F,Gaithersburg,MD,20877
24-Sep,1335,400.5,10/13/2024,smoke island5 inc,211 N. Frederick Ave unit F,Gaithersburg,MD,20877
24-Sep,2145.5,643.65,10/13/2024,smoke Island inc,11230 Georgia ave,silver spring,MD,20902
24-Sep,1526.5,457.95,10/13/2024,smokeisland3 inc,815 hungerford drive,Rockville,Montgomery,20850
24-Sep,1255.75,376.72,10/13/2024,Smoke Island7 inc,4949 Bethesda Ave,Bethesda,Maryland,20814
24-Sep,1708.5,512.55,10/13/2024,smoke island4 inc,12331 Georgia ave unit F,Silver Spring,MD,20906
24-Sep,1352.5,405.75,10/13/2024,Smoke island1 inc,9439 Georgia ave,Silver Spring,Maryland,20910
24-Sep,1340.5,402.15,10/13/2024,smoke island8 inc,2567 Ennalls ave,Wheaton,MD,20902
23-Sep,2273.5,682.05,10/23/2023,HS Wholesale Limited,511 S. Vista Ave,Addison,Illinois,60101
23-Oct,48529.1,14558.73,11/15/2023,Century Distributors,15710 Crabbs Branch Way,Rockville,Maryland,20855
23-Sep,42873.65,12862.09,10/12/2023,Century Distributors,15710 Crabbs Branch Way,Rockville,Maryland,20855
23-Oct,12543.14,3762.94,11/28/2023,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,Mountville,PA,17554
23-Sep,105577.09,31673.12,10/19/2023,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,Fredericksburg,Virginia,22406
23-Oct,3825.73,1147.71,11/29/2023,HS Wholesale Limited,511 S. Vista Ave,Addison,Illinois,60101
23-Oct,1557.39,467.21,11/15/2023,Sheetz Distribution Services LLC,242 Sheetz Way,Claysburg,Pennsylvania,16625
23-Oct,109914.7,32974.41,11/20/2023,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,Fredericksburg,Virginia,22406
23-Oct,2721.69,816.5,11/15/2023,Eby Brown Company,1415 W Diehl Rd- STE 300N,Naperville,IL,60563-1197
24-Jul,11584.48,3475.34,8/16/2024,George J. Falter,3501 Benson Ave,Baltimore,MD,21227
24-Jul,1836.53,550.95,8/15/2024,Eby Brown Company,1415 W Diehl Rd- STE 300N,Naperville,IL,60563-1197
24-Jul,4967.86,1490.35,8/20/2024,"K & E Tobacco, LLC",13842 Outlet Drive Unit C,Silver Spring,MD,20904
23-Nov,2400,720,12/18/2023,smoke Island inc,11230 Georgia ave,silver spring,MD,20902
23-Nov,1455.5,436.65,12/18/2023,smoke island4 inc,12331 Georgia ave unit F,Silver Spring,MD,20906
23-Nov,1884.48,565.34,12/18/2023,Sheetz Distribution Services LLC,242 Sheetz Way,Claysburg,Pennsylvania,16625
23-Nov,1095.5,328.65,12/18/2023,smoke island5 inc,211 N. Frederick Ave unit F,Gaithersburg,MD,20877
23-Nov,844.5,253.35,12/18/2023,Smoke Island7 inc,4949 Bethesda Ave,Bethesda,Maryland,20814
23-Nov,2241.53,672.45,12/18/2023,Eby Brown Company,1415 W Diehl Rd- STE 300N,Naperville,IL,60563-1197
23-Nov,312.36,93.7,12/15/2023,"K & E Tobacco, LLC",13842 Outlet Drive Unit C,Silver Spring,MD,20904
23-Nov,14941.38,4482.41,12/19/2023,George J. Falter,3501 Benson Ave,Baltimore,MD,21227
23-Nov,11953.37,3586.01,12/27/2023,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,Mountville,PA,17554
23-Nov,111375.17,33412.55,12/20/2023,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,Fredericksburg,Virginia,22406
23-Nov,40604.79,12181.43,12/12/2023,Century Distributors,15710 Crabbs Branch Way,Rockville,Maryland,20855
24-Jul,1125.75,337.72,8/21/2024,smoke island6 inc,7913 Norfolk ave,Bethesda,MD,20814
24-Jul,1300.91,390.27,8/22/2024,Sheetz Distribution Services LLC,242 Sheetz Way,Claysburg,Pennsylvania,16625
24-Sep,1883.43,565.02,10/15/2024,Sheetz Distribution Services LLC,242 Sheetz Way,Claysburg,Pennsylvania,16625
24-Sep,1706.39,511.91,10/14/2024,Eby Brown Company,1415 W Diehl Rd- STE 300N,Naperville,IL,60563-1197
24-Sep,10056.3,3016.89,10/15/2024,George J. Falter,3501 Benson Ave,Baltimore,MD,21227
24-Sep,5339,1601.7,10/20/2024,"K & E Tobacco, LLC",13842 Outlet Drive Unit C,Silver Spring,MD,20904
24-Sep,36220.13,10866.03,10/25/2024,Century Distributors,15710 Crabbs Branch Way,Rockville,MD,20855
24-Sep,7957,2387.1,10/30/2024,Vapor worldwide,15906 Shady Grove,Gaithersburg,Maryland,20877
24-Aug,7541.2,2262.36,10/30/2024,Vapor worldwide,15906 Shady Grove,Gaithersburg,Maryland,20877
